MANDT,CARRID,CONNID,COUNTRYFR,CITYFROM,AIRPFROM,COUNTRYTO,CITYTO,AIRPTO,FLTIME,DEPTIME,ARRTIME,DISTANCE,DISTID,FLTYPE,PERIOD
300,LH,2436,DE,FRANKFURT,FRA,DE,BERLIN,THF,65,17:30:00,18:35:00,555.0000,KM,,0
300,LH,2462,DE,FRANKFURT,FRA,DE,BERLIN,TXL,65,06:30:00,07:35:00,555.0000,KM,,0
300,LH,2463,DE,BERLIN,SXF,DE,FRANKFURT,FRA,65,21:25:00,22:30:00,555.0000,KM,,0
300,LH,3577,IT,ROME,FCO,DE,FRANKFURT,FRA,120,07:05:00,09:05:00,1351.0000,KM,X,0
300,QF,0005,SG,SINGAPORE,SIN,DE,FRANKFURT,FRA,825,22:50:00,05:35:00,10000.0000,KM,,1
300,QF,0006,DE,FRANKFURT,FRA,SG,SINGAPORE,SIN,670,20:55:00,15:05:00,10000.0000,KM,,1
300,SQ,0002,SG,SINGAPORE,SIN,US,SAN FRANCISCO,SFO,1105,17:00:00,19:25:00,8452.0000,MI,,0
300,SQ,0015,US,SAN FRANCISCO,SFO,SG,SINGAPORE,SIN,1125,16:00:00,02:45:00,8452.0000,MI,,2
300,SQ,0066,SG,SINGAPORE,SIN,TH,BANGKOK,BKK,140,16:00:00,17:20:00,937.0000,MI,,0
300,SQ,0067,TH,BANGKOK,BKK,SG,SINGAPORE,SIN,145,18:30:00,21:55:00,937.0000,MI,,0
300,SQ,0114,SG,SINGAPORE,SIN,MY,KUALA LUMPUR,KUL,70,09:15:00,10:25:00,250.0000,MI,,0
300,SQ,0117,MY,KUALA LUMPUR,KUL,SG,SINGAPORE,SIN,70,12:00:00,13:10:00,250.0000,MI,,0
300,SQ,0158,SG,SINGAPORE,SIN,ID,JAKARTA,JKT,95,15:25:00,16:00:00,560.0000,MI,,0
300,SQ,0161,ID,JAKARTA,JKT,SG,SINGAPORE,SIN,95,18:40:00,21:15:00,560.0000,MI,,0
300,SQ,0325,DE,FRANKFURT,FRA,SG,SINGAPORE,SIN,685,20:45:00,15:10:00,10000.0000,KM,,1
300,SQ,0326,SG,SINGAPORE,SIN,DE,FRANKFURT,FRA,840,23:55:00,06:55:00,10000.0000,KM,,1
300,SQ,0863,HK,HONGKONG,HKG,SG,SINGAPORE,SIN,270,16:20:00,20:50:00,1625.0000,MI,X,0
300,SQ,0866,SG,SINGAPORE,SIN,HK,HONGKONG,HKG,270,07:10:00,11:40:00,1625.0000,MI,,0
300,SQ,0988,SG,SINGAPORE,SIN,JP,TOKYO,TYO,400,16:35:00,00:15:00,3125.0000,MI,,1
300,SQ,0997,JP,TOKYO,TYO,SG,SINGAPORE,SIN,299,18:00:00,21:59:00,3125.0000,MI,,0
300,UA,0007,US,NEW YORK,JFK,US,SAN FRANCISCO,SFO,370,14:45:00,17:55:00,2572.0000,MI,,0
300,UA,0941,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,696,14:30:00,17:06:00,5685.0000,MI,,0
300,UA,3504,US,SAN FRANCISCO,SFO,DE,FRANKFURT,FRA,630,15:00:00,10:30:00,5685.0000,MI,,1
300,UA,3516,US,NEW YORK,JFK,DE,FRANKFURT,FRA,445,16:20:00,05:45:00,6162.0000,KM,,1
300,UA,3517,DE,FRANKFURT,FRA,US,NEW YORK,JFK,495,10:40:00,12:55:00,6162.0000,KM,,0
