MANDT,CARRID,CONNID,FLDATE,BOOKID,CUSTOMID,TICKET,PLACE,ARCHIVE_
300,LH,400,2028-05-29,12363,3947,O,AIRPORT,
300,LH,400,2028-08-19,28627,794,O,AIRPORT,
300,AA,17,2028-04-08,2887,794,O,AIRPORT,
300,JL,407,2028-04-02,1188,3947,O,AIRPORT,
300,AZ,788,2028-04-24,43735,794,O,AIRPORT,
300,QF,6,2028-04-24,41998,794,O,AIRPORT,
300,AZ,555,2028-05-28,12216,3947,O,AIRPORT,
300,LH,401,2028-04-07,41979,794,O,AIRPORT,
300,QF,6,2028-05-28,46634,794,O,AIRPORT,
300,LH,400,2028-04-25,6088,3947,O,AIRPORT,
300,UA,941,2028-08-23,44579,794,O,AIRPORT,
300,JL,408,2028-05-13,32412,3947,O,AIRPORT,
300,DL,106,2028-09-09,32628,3947,O,AIRPORT,
300,LH,401,2028-04-25,45410,794,O,AIRPORT,
300,JL,408,2028-05-11,32243,3947,O,AIRPORT,
300,LH,401,2028-04-22,45021,794,O,AIRPORT,
300,AA,17,2028-09-12,33313,3947,O,AIRPORT,
300,UA,7,2028-04-27,4516,794,O,AIRPORT,
300,UA,941,2028-05-15,33342,3947,O,AIRPORT,
300,JL,408,2028-06-27,37608,794,O,AIRPORT,
300,AZ,555,2028-08-29,30881,3947,O,AIRPORT,
300,QF,5,2028-10-27,37382,794,O,AIRPORT,
300,UA,941,2028-05-01,31903,3947,O,AIRPORT,
300,AA,26,2028-04-06,40259,794,O,AIRPORT,
300,UA,941,2028-05-21,34021,3947,O,AIRPORT,
300,AZ,788,2028-04-06,40405,794,O,AIRPORT,
300,QF,5,2028-09-15,33525,3947,O,AIRPORT,
300,JL,408,2028-05-22,33530,3947,O,AIRPORT,
300,UA,941,2028-07-21,40945,794,O,AIRPORT,
300,LH,400,2028-09-13,34130,3947,O,AIRPORT,
300,UA,941,2028-07-07,39369,794,O,AIRPORT,
300,UA,7,2028-11-01,27441,3947,O,AIRPORT,
300,QF,6,2028-08-29,59773,794,O,AIRPORT,
300,QF,5,2028-08-03,25303,3947,O,AIRPORT,
300,AA,26,2028-08-23,59412,794,O,AIRPORT,
300,QF,5,2028-08-26,29755,3947,O,AIRPORT,
300,DL,1699,2028-07-17,59595,794,O,AIRPORT,
300,UA,941,2028-04-11,29685,3947,O,AIRPORT,
300,LH,401,2028-07-12,60634,794,O,AIRPORT,
300,LH,400,2028-08-30,30618,3947,O,AIRPORT,
300,DL,1699,2028-07-06,57147,794,O,AIRPORT,
300,AZ,555,2028-08-16,27985,3947,O,AIRPORT,
300,LH,401,2028-06-28,58147,794,O,AIRPORT,
300,LH,400,2028-04-09,2905,3947,O,AIRPORT,
300,AZ,788,2028-07-09,58502,794,O,AIRPORT,
300,AZ,555,2028-04-08,2861,3947,O,AIRPORT,
300,DL,1699,2028-08-11,64130,794,O,AIRPORT,
300,UA,941,2028-04-04,28910,3947,O,AIRPORT,
300,QF,6,2028-10-24,64717,794,O,AIRPORT,
300,UA,7,2028-04-27,4374,3947,O,AIRPORT,
300,DL,1699,2028-08-06,63166,794,O,AIRPORT,
300,AA,26,2028-04-17,41982,3947,O,AIRPORT,
300,LH,401,2028-05-26,51464,794,O,AIRPORT,
300,QF,5,2028-04-16,4287,3947,O,AIRPORT,
300,QF,6,2028-06-26,50855,794,O,AIRPORT,
300,UA,941,2028-08-07,42908,3947,O,AIRPORT,
300,UA,3504,2028-03-29,50813,794,O,AIRPORT,
300,LH,401,2028-06-22,56839,794,O,AIRPORT,
300,AZ,788,2028-05-07,46191,3947,O,AIRPORT,
300,DL,1699,2028-07-04,56929,794,O,AIRPORT,
300,DL,106,2028-04-19,4572,3947,O,AIRPORT,
300,AZ,788,2028-06-19,54420,794,O,AIRPORT,
300,UA,941,2028-09-03,45984,3947,O,AIRPORT,
300,AA,64,2028-05-01,70107,794,O,AIRPORT,
300,DL,1699,2028-05-14,46662,3947,O,AIRPORT,
300,DL,1699,2028-09-07,69227,794,O,AIRPORT,
300,AZ,788,2028-05-09,46552,3947,O,AIRPORT,
300,LH,401,2028-08-26,69186,794,O,AIRPORT,
300,DL,1699,2028-05-14,46584,3947,O,AIRPORT,
300,AZ,788,2028-08-25,67647,794,O,AIRPORT,
300,UA,7,2028-04-27,4557,3947,O,AIRPORT,
300,LH,401,2028-04-25,45549,3947,O,AIRPORT,
300,DL,1699,2028-08-31,67960,794,O,AIRPORT,
300,UA,941,2028-06-21,37653,3947,O,AIRPORT,
300,DL,1984,2028-05-18,85734,794,O,AIRPORT,
300,AA,17,2028-10-04,36737,3947,O,AIRPORT,
300,LH,402,2028-04-26,84956,794,O,AIRPORT,
300,JL,408,2028-07-23,40583,3947,O,AIRPORT,
300,UA,3504,2028-09-15,84968,794,O,AIRPORT,
300,AZ,788,2028-04-01,39375,3947,O,AIRPORT,
300,UA,3504,2028-08-01,75282,794,O,AIRPORT,
300,LH,401,2028-03-27,39780,3947,O,AIRPORT,
300,UA,3504,2028-08-01,75342,794,O,AIRPORT,
300,AA,26,2028-04-02,39835,3947,O,AIRPORT,
300,DL,1699,2028-10-03,73988,794,O,AIRPORT,
300,AZ,555,2028-03-26,242,3947,O,AIRPORT,
300,DL,1699,2028-10-24,74734,794,O,AIRPORT,
300,QF,6,2028-09-07,60859,3947,O,AIRPORT,
300,AA,64,2028-05-17,71980,794,O,AIRPORT,
300,AZ,788,2028-09-09,70584,794,O,AIRPORT,
300,DL,1699,2028-07-26,60978,3947,O,AIRPORT,
300,UA,3504,2028-07-25,73939,794,O,AIRPORT,
300,UA,3504,2028-05-06,58147,3947,O,AIRPORT,
300,DL,1984,2028-04-30,82301,794,O,AIRPORT,
300,AZ,788,2028-07-06,58243,3947,O,AIRPORT,
300,UA,3504,2028-09-01,81674,794,O,AIRPORT,
300,QF,6,2028-08-20,58443,3947,O,AIRPORT,
300,UA,3504,2028-09-11,83992,794,O,AIRPORT,
300,UA,3504,2028-05-06,58394,3947,O,AIRPORT,
300,AA,64,2028-09-08,84781,794,O,AIRPORT,
300,DL,106,2028-03-30,853,3947,O,AIRPORT,
300,LH,402,2028-04-17,83233,794,O,AIRPORT,
300,UA,7,2028-03-27,83,3947,O,AIRPORT,
300,AA,64,2028-07-21,79099,794,O,AIRPORT,
300,UA,7,2028-03-31,766,3947,O,AIRPORT,
300,AZ,788,2028-08-11,64883,3947,O,AIRPORT,
300,AA,26,2028-10-02,64659,3947,O,AIRPORT,
300,AA,64,2028-08-01,80446,794,O,AIRPORT,
300,AA,26,2028-09-05,61498,3947,O,AIRPORT,
300,UA,3504,2028-08-23,79569,794,O,AIRPORT,
300,DL,1699,2028-05-25,49087,3947,O,AIRPORT,
300,DL,1984,2028-11-13,113333,794,O,AIRPORT,
300,DL,1699,2028-06-03,50575,3947,O,AIRPORT,
300,AZ,789,2028-10-09,112838,794,O,AIRPORT,
300,QF,6,2028-08-03,55865,3947,O,AIRPORT,
300,UA,3516,2028-07-24,112727,794,O,AIRPORT,
300,DL,1699,2028-06-25,55191,3947,O,AIRPORT,
300,QF,6,2028-08-07,56621,3947,O,AIRPORT,
300,DL,1984,2028-08-22,104276,794,O,AIRPORT,
300,AZ,788,2028-06-14,53777,3947,O,AIRPORT,
300,UA,3516,2028-06-10,104106,794,O,AIRPORT,
300,UA,3504,2028-04-16,54205,3947,O,AIRPORT,
300,LH,402,2028-07-28,103477,794,O,AIRPORT,
300,UA,3516,2028-05-21,100050,794,O,AIRPORT,
300,AA,26,2028-07-13,53983,3947,O,AIRPORT,
300,UA,3516,2028-05-21,100087,794,O,AIRPORT,
300,LH,401,2028-06-08,54221,3947,O,AIRPORT,
300,LH,402,2028-07-24,102415,794,O,AIRPORT,
300,AZ,788,2028-09-05,69620,3947,O,AIRPORT,
300,DL,1984,2028-09-20,109894,794,O,AIRPORT,
300,LH,401,2028-08-10,66383,3947,O,AIRPORT,
300,AZ,789,2028-08-27,106380,794,O,AIRPORT,
300,DL,1699,2028-08-18,65296,3947,O,AIRPORT,
300,LH,401,2028-08-19,68123,3947,O,AIRPORT,
300,LH,402,2028-08-15,106932,794,O,AIRPORT,
300,AZ,789,2028-05-16,85999,3947,O,AIRPORT,
300,AZ,789,2028-09-07,108534,794,O,AIRPORT,
300,UA,3504,2028-09-21,86284,3947,O,AIRPORT,
300,LH,402,2028-06-05,93144,794,O,AIRPORT,
300,AZ,789,2028-05-16,86321,3947,O,AIRPORT,
300,LH,402,2028-06-03,92529,794,O,AIRPORT,
300,AA,64,2028-09-30,86937,3947,O,AIRPORT,
300,UA,3516,2028-04-10,92268,794,O,AIRPORT,
300,LH,402,2028-05-05,86667,3947,O,AIRPORT,
300,AZ,789,2028-07-09,96436,794,O,AIRPORT,
300,DL,1699,2028-10-26,74950,3947,O,AIRPORT,
300,DL,1984,2028-07-13,96410,794,O,AIRPORT,
300,UA,3504,2028-08-01,75373,3947,O,AIRPORT,
300,UA,3516,2028-05-03,96738,794,O,AIRPORT,
300,AA,64,2028-06-17,75536,3947,O,AIRPORT,
300,DL,1984,2028-07-04,94925,794,O,AIRPORT,
300,AZ,788,2028-09-27,74064,3947,O,AIRPORT,
300,AZ,789,2028-07-18,98208,794,O,AIRPORT,
300,LH,401,2028-09-17,74459,3947,O,AIRPORT,
300,AZ,789,2028-07-16,97836,794,O,AIRPORT,
300,DL,1984,2028-04-03,77120,3947,O,AIRPORT,
300,LH,402,2028-06-27,97423,794,O,AIRPORT,
300,DL,1984,2028-04-01,76798,3947,O,AIRPORT,
300,UA,3516,2028-09-23,125172,794,O,AIRPORT,
300,UA,3504,2028-08-12,77435,3947,O,AIRPORT,
300,AZ,790,2028-05-23,122381,794,O,AIRPORT,
300,AZ,789,2028-04-02,77376,3947,O,AIRPORT,
300,AZ,790,2028-07-07,128574,794,O,AIRPORT,
300,LH,401,2028-09-24,75871,3947,O,AIRPORT,
300,LH,454,2028-06-18,129356,794,O,AIRPORT,
300,AA,64,2028-05-17,72009,3947,O,AIRPORT,
300,UA,3517,2028-04-03,129842,794,O,AIRPORT,
300,UA,3504,2028-07-12,71212,3947,O,AIRPORT,
300,UA,3516,2028-09-25,125624,794,O,AIRPORT,
300,DL,1699,2028-09-22,72606,3947,O,AIRPORT,
300,UA,3516,2028-10-02,126426,794,O,AIRPORT,
300,DL,1984,2028-04-30,82271,3947,O,AIRPORT,
300,AZ,790,2028-03-28,114740,794,O,AIRPORT,
300,AA,64,2028-08-10,81382,3947,O,AIRPORT,
300,AZ,789,2028-11-04,113939,794,O,AIRPORT,
300,LH,402,2028-04-23,84633,3947,O,AIRPORT,
300,LH,454,2028-04-09,119706,794,O,AIRPORT,
300,AZ,789,2028-05-01,83256,3947,O,AIRPORT,
300,AZ,790,2028-05-03,119787,794,O,AIRPORT,
300,AZ,789,2028-05-01,83042,3947,O,AIRPORT,
300,AZ,791,2028-07-12,153404,794,O,AIRPORT,
300,DL,1984,2028-04-08,77952,3947,O,AIRPORT,
300,LH,455,2028-04-21,148602,794,O,AIRPORT,
300,UA,3504,2028-08-28,80489,3947,O,AIRPORT,
300,AZ,791,2028-09-08,159949,794,O,AIRPORT,
300,UA,3504,2028-08-26,80159,3947,O,AIRPORT,
300,AZ,791,2028-10-07,162448,794,O,AIRPORT,
300,DL,1984,2028-10-17,112488,3947,O,AIRPORT,
300,LH,455,2028-06-27,156061,794,O,AIRPORT,
300,UA,3516,2028-07-27,113190,3947,O,AIRPORT,
300,AZ,791,2028-08-12,156941,794,O,AIRPORT,
300,LH,455,2028-07-20,158464,794,O,AIRPORT,
300,AZ,791,2028-08-14,157247,794,O,AIRPORT,
300,DL,1984,2028-08-18,103355,3947,O,AIRPORT,
300,AZ,790,2028-09-07,137298,794,O,AIRPORT,
300,UA,3516,2028-05-23,100622,3947,O,AIRPORT,
300,UA,3517,2028-05-11,137267,794,O,AIRPORT,
300,UA,3516,2028-05-29,102025,3947,O,AIRPORT,
300,UA,3517,2028-04-08,130771,794,O,AIRPORT,
300,AZ,789,2028-09-18,110418,3947,O,AIRPORT,
300,UA,3517,2028-04-23,133919,794,O,AIRPORT,
300,LH,402,2028-08-18,107439,3947,O,AIRPORT,
300,UA,3517,2028-04-19,132668,794,O,AIRPORT,
300,UA,3516,2028-06-28,107645,3947,O,AIRPORT,
300,UA,3517,2028-05-20,138816,794,O,AIRPORT,
300,UA,3516,2028-06-25,106913,3947,O,AIRPORT,
300,LH,454,2028-09-13,142025,794,O,AIRPORT,
300,AZ,789,2028-09-01,106931,3947,O,AIRPORT,
300,LH,454,2028-09-04,140667,794,O,AIRPORT,
300,AZ,789,2028-09-07,108593,3947,O,AIRPORT,
300,LH,454,2028-09-04,140450,794,O,AIRPORT,
300,DL,1984,2028-09-16,109162,3947,O,AIRPORT,
300,LH,454,2028-09-08,141165,794,O,AIRPORT,
300,DL,1984,2028-06-14,90821,3947,O,AIRPORT,
300,LH,455,2028-09-22,166226,794,O,AIRPORT,
300,UA,3516,2028-04-04,91117,3947,O,AIRPORT,
300,UA,3517,2028-09-27,164853,794,O,AIRPORT,
300,UA,3516,2028-04-04,91045,3947,O,AIRPORT,
300,LH,2462,2028-10-25,267587,794,O,AIRPORT,
300,LH,402,2028-05-16,89164,3947,O,AIRPORT,
300,LH,2462,2028-07-01,256464,794,O,AIRPORT,
300,DL,1984,2028-07-28,99567,3947,O,AIRPORT,
300,LH,2462,2028-07-23,258859,794,O,AIRPORT,
300,DL,1984,2028-07-13,96525,3947,O,AIRPORT,
300,LH,2462,2028-11-16,267915,794,O,AIRPORT,
300,AZ,789,2028-07-02,95130,3947,O,AIRPORT,
300,LH,2463,2028-05-20,274043,794,O,AIRPORT,
300,LH,402,2028-06-29,97802,3947,O,AIRPORT,
300,LH,2436,2028-04-14,233733,794,O,AIRPORT,
300,DL,1984,2028-07-15,96831,3947,O,AIRPORT,
300,LH,2436,2028-05-08,235269,794,O,AIRPORT,
300,AZ,790,2028-05-25,122622,3947,O,AIRPORT,
300,LH,2436,2028-06-27,238456,794,O,AIRPORT,
300,AZ,790,2028-07-09,129091,3947,O,AIRPORT,
300,LH,2436,2028-06-24,238370,794,O,AIRPORT,
300,AZ,790,2028-06-14,125611,3947,O,AIRPORT,
300,LH,2415,2028-09-01,228778,794,O,AIRPORT,
300,AZ,790,2028-04-15,117059,3947,O,AIRPORT,
300,LH,2436,2028-09-02,243007,794,O,AIRPORT,
300,LH,402,2028-10-12,116948,3947,O,AIRPORT,
300,LH,2436,2028-09-17,244079,794,O,AIRPORT,
300,AZ,790,2028-04-08,116233,3947,O,AIRPORT,
300,LH,3577,2028-04-16,293229,794,O,AIRPORT,
300,UA,3516,2028-08-31,120047,3947,O,AIRPORT,
300,UA,3516,2028-09-03,121145,3947,O,AIRPORT,
300,LH,3577,2028-04-07,292111,794,O,AIRPORT,
300,UA,3517,2028-07-26,151952,3947,O,AIRPORT,
300,LH,2463,2028-08-04,282637,794,O,AIRPORT,
300,LH,455,2028-05-25,152393,3947,O,AIRPORT,
300,LH,3577,2028-08-24,307593,794,O,AIRPORT,
300,UA,3517,2028-07-28,152307,3947,O,AIRPORT,
300,LH,2407,2028-06-04,198489,794,O,AIRPORT,
300,AZ,791,2028-07-03,152437,3947,O,AIRPORT,
300,LH,2407,2028-07-17,203250,794,O,AIRPORT,
300,AZ,791,2028-05-19,147504,3947,O,AIRPORT,
300,LH,2415,2028-06-02,219607,794,O,AIRPORT,
300,AZ,791,2028-09-10,160042,3947,O,AIRPORT,
300,LH,2415,2028-05-19,218393,794,O,AIRPORT,
