MANDT,CARRID,CONNID,FLDATE,PRICE,CURRENCY,PLANETYPE,SEATSMAX,SEATSOCC,PAYMENTSUM,SEATSMAX_B,SEATSOCC_B,SEATSMAX_F,SEATSOCC_F
300,AZ,0790,2025-03-26,1014.00,EUR,A310-300,280,271,319835.88,22,21,10,10
300,AZ,0791,2025-03-26,1014.00,EUR,A319,220,201,255365.76,22,21,10,10
300,SQ,0325,2025-03-26,1737.55,SGD,747-400,385,378,807596.46,31,30,21,21
300,UA,0941,2025-03-26,879.82,USD,A319,220,213,233091.14,22,22,10,10
300,AA,0017,2025-03-26,422.94,USD,747-400,385,366,189549.14,31,28,21,20
300,AA,0026,2025-03-26,611.01,USD,A310-300,280,265,189321.71,22,22,10,9
300,AZ,0555,2025-03-26,185.00,EUR,DC-10-10,380,365,85545.85,41,39,18,18
300,AZ,0788,2025-03-26,1030.00,EUR,DC-10-10,380,360,464674.20,41,39,18,17
300,QF,0006,2025-03-26,788.64,AUD,A310-300,280,271,250377.58,22,21,10,10
300,LH,0454,2025-03-27,965.00,EUR,A310-300,280,266,302527.50,22,21,10,10
300,LH,2402,2025-03-27,242.00,EUR,A321,220,213,64374.42,22,22,11,10
300,LH,2407,2025-03-27,242.00,EUR,A321,220,213,64713.22,22,21,11,11
300,UA,3504,2025-03-27,879.82,USD,DC-10-10,380,361,399456.53,41,37,18,18
300,LH,2415,2025-03-27,242.00,EUR,727-200,189,184,55418.00,18,17,11,10
300,LH,2436,2025-03-27,242.00,EUR,737-200,130,119,34555.18,10,9,8,6
300,LH,2462,2025-03-27,242.00,EUR,A319,220,212,63796.04,22,22,10,9
300,SQ,0997,2025-03-27,910.15,SGD,747-400,385,385,427470.78,31,31,21,21
300,JL,0408,2025-03-27,1061.36,JPY,A319,220,213,278277.95,22,21,10,10
300,LH,0400,2025-03-27,666.00,EUR,DC-10-10,380,365,306919.44,41,40,18,18
300,LH,0401,2025-03-27,666.00,EUR,DC-10-10,380,368,309643.38,41,41,18,18
300,SQ,0326,2025-03-27,1737.55,SGD,A310-300,280,273,556607.10,22,21,10,10
300,JL,0407,2025-03-27,1061.36,JPY,A310-300,280,271,337767.19,22,22,10,10
300,UA,0007,2025-03-27,422.94,USD,A310-300,280,264,131090.43,22,21,10,10
300,LH,2463,2025-03-27,242.00,EUR,A321,220,213,64108.22,22,21,11,10
300,LH,3577,2025-03-27,185.00,EUR,A321,220,211,49147.10,22,22,11,11
300,AA,0064,2025-03-27,422.94,USD,A319,220,214,111719.76,22,21,10,10
300,QF,0005,2025-03-27,788.64,AUD,747-400,385,369,357348.71,31,30,21,21
300,SQ,0114,2025-03-28,357.44,SGD,737-200,130,130,57758.78,10,10,8,8
300,LH,0455,2025-03-28,965.00,EUR,A319,220,211,253553.75,22,22,10,10
300,SQ,0117,2025-03-28,357.44,SGD,A319,220,220,96498.08,22,22,10,10
300,SQ,0158,2025-03-28,494.79,SGD,A321,220,219,135784.99,22,22,11,11
300,SQ,0161,2025-03-28,494.79,SGD,A321,220,219,136497.50,22,22,11,11
300,UA,3516,2025-03-28,611.01,USD,DC-10-10,380,366,283215.70,41,39,18,18
300,SQ,0863,2025-03-28,512.99,SGD,A319,220,220,139835.73,22,22,10,10
300,UA,3517,2025-03-28,611.01,USD,747-400,385,372,277185.04,31,30,21,19
300,AZ,0789,2025-03-28,1030.00,EUR,747-400,385,374,471812.10,31,29,21,21
300,SQ,0015,2025-03-28,2320.04,SGD,DC-10-10,380,371,1085639.80,41,40,18,18
300,AZ,0790,2025-03-28,1014.00,EUR,A310-300,280,265,314137.20,22,21,10,9
300,LH,0402,2025-03-28,666.00,EUR,747-400,385,369,300599.10,31,30,21,20
300,SQ,0325,2025-03-28,1737.55,SGD,747-400,385,385,823338.61,31,31,21,21
300,DL,0106,2025-03-28,611.01,USD,DC-10-10,380,364,275785.85,41,37,18,17
300,DL,1699,2025-03-28,422.94,USD,DC-10-10,380,368,195119.32,41,39,18,17
300,DL,1984,2025-03-28,422.94,USD,747-400,385,371,192805.90,31,30,21,20
300,SQ,0066,2025-03-28,329.31,SGD,DC-10-10,380,373,155071.15,41,40,18,18
300,SQ,0067,2025-03-28,329.31,SGD,747-400,385,383,155295.03,31,31,21,21
300,AA,0017,2025-03-28,422.94,USD,747-400,385,368,191676.61,31,31,21,20
300,AA,0026,2025-03-28,611.01,USD,A310-300,280,267,191197.50,22,22,10,9
300,AZ,0555,2025-03-28,185.00,EUR,DC-10-10,380,357,83586.70,41,39,18,17
300,AZ,0788,2025-03-28,1030.00,EUR,DC-10-10,380,368,480556.80,41,41,18,18
300,QF,0006,2025-03-28,788.64,AUD,A310-300,280,271,249604.75,22,21,10,10
300,LH,0454,2025-03-29,965.00,EUR,A310-300,280,271,303772.35,22,21,10,9
300,LH,2402,2025-03-29,242.00,EUR,A321,220,209,63750.06,22,21,11,11
300,LH,2407,2025-03-29,242.00,EUR,A321,220,211,63174.10,22,22,11,9
300,UA,3504,2025-03-29,879.82,USD,DC-10-10,380,362,403398.17,41,40,18,18
300,LH,2415,2025-03-29,242.00,EUR,727-200,189,182,55865.70,18,17,11,11
300,LH,2436,2025-03-29,242.00,EUR,737-200,130,120,36815.46,10,10,8,8
300,SQ,0866,2025-03-29,512.99,SGD,DC-10-10,380,370,240397.02,41,40,18,18
300,SQ,0988,2025-03-29,910.15,SGD,DC-10-10,380,380,434442.53,41,41,18,18
300,LH,2462,2025-03-29,242.00,EUR,A319,220,212,63537.10,22,22,10,9
300,SQ,0997,2025-03-29,910.15,SGD,747-400,385,385,429272.93,31,31,21,21
300,JL,0408,2025-03-29,1061.36,JPY,A319,220,213,281950.19,22,21,10,10
300,SQ,0002,2025-03-29,2320.04,SGD,A319,220,215,621260.47,22,22,10,10
300,LH,0400,2025-03-29,666.00,EUR,DC-10-10,380,368,309223.80,41,41,18,18
300,LH,0401,2025-03-29,666.00,EUR,DC-10-10,380,364,302297.40,41,37,18,17
300,AZ,0791,2025-03-29,1014.00,EUR,A319,220,213,268314.54,22,22,10,10
300,SQ,0326,2025-03-29,1737.55,SGD,A310-300,280,280,572627.29,22,22,10,10
300,JL,0407,2025-03-29,1061.36,JPY,A310-300,280,271,340123.16,22,22,10,10
300,UA,0007,2025-03-29,422.94,USD,A310-300,280,272,134478.16,22,22,10,9
300,UA,0941,2025-03-29,879.82,USD,A319,220,215,229994.17,22,21,10,9
300,LH,2463,2025-03-29,242.00,EUR,A321,220,214,64437.34,22,21,11,11
300,LH,3577,2025-03-29,185.00,EUR,A321,220,205,47783.65,22,21,11,11
300,AA,0064,2025-03-29,422.94,USD,A319,220,214,111614.03,22,20,10,10
300,QF,0005,2025-03-29,788.64,AUD,747-400,385,373,363137.45,31,31,21,21
300,SQ,0114,2025-03-30,357.44,SGD,737-200,130,130,57805.25,10,10,8,8
300,LH,0455,2025-03-30,965.00,EUR,A319,220,212,255676.75,22,22,10,10
300,SQ,0117,2025-03-30,357.44,SGD,A319,220,210,93066.80,22,21,10,10
300,SQ,0158,2025-03-30,494.79,SGD,A321,220,220,136047.26,22,22,11,11
300,SQ,0161,2025-03-30,494.79,SGD,A321,220,217,134122.49,22,22,11,11
300,UA,3516,2025-03-30,611.01,USD,DC-10-10,380,368,284162.79,41,40,18,18
300,UA,3517,2025-03-30,611.01,USD,747-400,385,372,279451.88,31,30,21,20
300,LH,0402,2025-03-30,666.00,EUR,747-400,385,363,297955.08,31,30,21,20
300,DL,0106,2025-03-30,611.01,USD,DC-10-10,380,367,283527.33,41,41,18,17
300,DL,1699,2025-03-30,422.94,USD,DC-10-10,380,368,195664.94,41,41,18,17
300,DL,1984,2025-03-30,422.94,USD,747-400,385,373,194721.81,31,31,21,21
300,SQ,0066,2025-03-30,329.31,SGD,DC-10-10,380,380,157287.60,41,41,18,18
300,SQ,0067,2025-03-30,329.31,SGD,747-400,385,385,154761.60,31,31,21,21
300,AZ,0788,2025-03-30,1030.00,EUR,DC-10-10,380,368,473449.80,41,39,18,17
300,LH,0454,2025-03-31,965.00,EUR,A310-300,280,269,307178.80,22,21,10,10
300,LH,2402,2025-03-31,242.00,EUR,A321,220,214,63643.58,22,22,11,9
300,LH,2407,2025-03-31,242.00,EUR,A321,220,214,64575.28,22,21,11,11
300,UA,3504,2025-03-31,879.82,USD,DC-10-10,380,370,406064.11,41,40,18,17
300,SQ,0863,2025-03-31,512.99,SGD,A319,220,220,139779.30,22,22,10,10
300,LH,2415,2025-03-31,242.00,EUR,727-200,189,175,54232.20,18,17,11,11
300,LH,2436,2025-03-31,242.00,EUR,737-200,130,128,37882.68,10,10,8,7
300,SQ,0866,2025-03-31,512.99,SGD,DC-10-10,380,380,245644.89,41,41,18,18
300,SQ,0988,2025-03-31,910.15,SGD,DC-10-10,380,380,433477.69,41,41,18,18
300,LH,2462,2025-03-31,242.00,EUR,A319,220,211,63800.88,22,22,10,10
300,SQ,0997,2025-03-31,910.15,SGD,747-400,385,385,429372.98,31,31,21,21
300,JL,0408,2025-03-31,1061.36,JPY,A319,220,214,277757.68,22,21,10,9
300,QF,0006,2025-03-31,788.64,AUD,A310-300,280,263,242159.95,22,20,10,10
300,SQ,0002,2025-03-31,2320.04,SGD,A319,220,211,601609.65,22,21,10,10
300,LH,0400,2025-03-31,666.00,EUR,DC-10-10,380,368,306366.66,41,40,18,16
300,AZ,0789,2025-03-31,1030.00,EUR,747-400,385,371,468207.10,31,30,21,20
300,LH,0401,2025-03-31,666.00,EUR,DC-10-10,380,359,302943.42,41,40,18,17
300,SQ,0015,2025-03-31,2320.04,SGD,DC-10-10,380,372,1086567.80,41,40,18,18
300,AZ,0790,2025-03-31,1014.00,EUR,A310-300,280,263,311186.46,22,20,10,9
300,AZ,0791,2025-03-31,1014.00,EUR,A319,220,213,266823.96,22,20,10,10
300,SQ,0325,2025-03-31,1737.55,SGD,747-400,385,375,801271.67,31,30,21,20
300,SQ,0326,2025-03-31,1737.55,SGD,A310-300,280,274,558014.65,22,22,10,10
300,JL,0407,2025-03-31,1061.36,JPY,A310-300,280,266,330878.95,22,21,10,10
300,UA,0007,2025-03-31,422.94,USD,A310-300,280,267,132160.43,22,21,10,9
300,UA,0941,2025-03-31,879.82,USD,A319,220,204,219691.46,22,20,10,9
300,AA,0017,2025-03-31,422.94,USD,747-400,385,370,191926.11,31,29,21,21
300,AA,0026,2025-03-31,611.01,USD,A310-300,280,267,192871.67,22,22,10,10
300,LH,2463,2025-03-31,242.00,EUR,A321,220,214,64004.16,22,20,11,11
300,LH,3577,2025-03-31,185.00,EUR,A321,220,213,48871.45,22,20,11,11
300,AA,0064,2025-03-31,422.94,USD,A319,220,208,109469.70,22,21,10,10
300,AZ,0555,2025-03-31,185.00,EUR,DC-10-10,380,363,85273.90,41,40,18,18
300,QF,0005,2025-03-31,788.64,AUD,747-400,385,363,350937.25,31,29,21,20
300,SQ,0114,2025-04-01,357.44,SGD,737-200,130,122,54624.02,10,9,8,8
300,LH,0455,2025-04-01,965.00,EUR,A319,220,213,255252.15,22,21,10,10
300,SQ,0117,2025-04-01,357.44,SGD,A319,220,220,97316.84,22,22,10,10
300,SQ,0158,2025-04-01,494.79,SGD,A321,220,213,132648.09,22,21,11,11
300,SQ,0161,2025-04-01,494.79,SGD,A321,220,220,135948.29,22,22,11,11
300,UA,3516,2025-04-01,611.01,USD,DC-10-10,380,361,278211.53,41,39,18,17
300,UA,3517,2025-04-01,611.01,USD,747-400,385,369,277331.69,31,29,21,21
300,LH,0402,2025-04-01,666.00,EUR,747-400,385,365,296469.90,31,29,21,20
300,DL,0106,2025-04-01,611.01,USD,DC-10-10,380,369,283698.42,41,39,18,18
300,DL,1699,2025-04-01,422.94,USD,DC-10-10,380,365,193875.93,41,38,18,18
300,DL,1984,2025-04-01,422.94,USD,747-400,385,373,190251.25,31,30,21,19
300,SQ,0066,2025-04-01,329.31,SGD,DC-10-10,380,380,157168.94,41,41,18,18
300,SQ,0067,2025-04-01,329.31,SGD,747-400,385,385,155739.75,31,31,21,21
300,AZ,0788,2025-04-01,1030.00,EUR,DC-10-10,380,360,467125.60,41,40,18,17
300,UA,3504,2025-04-02,879.82,USD,DC-10-10,380,363,400978.65,41,39,18,17
300,SQ,0863,2025-04-02,512.99,SGD,A319,220,220,140076.84,22,22,10,10
300,LH,2415,2025-04-02,242.00,EUR,727-200,189,184,55957.66,18,17,11,11
300,SQ,0866,2025-04-02,512.99,SGD,DC-10-10,380,378,243987.92,41,41,18,18
300,SQ,0988,2025-04-02,910.15,SGD,DC-10-10,380,375,429163.61,41,40,18,18
300,LH,2462,2025-04-02,242.00,EUR,A319,220,213,64018.68,22,22,10,10
300,SQ,0997,2025-04-02,910.15,SGD,747-400,385,385,430829.00,31,31,21,21
300,QF,0006,2025-04-02,788.64,AUD,A310-300,280,267,248153.67,22,21,10,10
300,SQ,0002,2025-04-02,2320.04,SGD,A319,220,212,607293.89,22,21,10,10
300,AZ,0789,2025-04-02,1030.00,EUR,747-400,385,371,472193.20,31,31,21,21
300,LH,0401,2025-04-02,666.00,EUR,DC-10-10,380,361,300192.84,41,37,18,18
300,SQ,0015,2025-04-02,2320.04,SGD,DC-10-10,380,378,1101276.84,41,41,18,18
300,AZ,0790,2025-04-02,1014.00,EUR,A310-300,280,271,316702.62,22,20,10,9
300,AZ,0791,2025-04-02,1014.00,EUR,A319,220,214,270525.06,22,22,10,10
300,SQ,0325,2025-04-02,1737.55,SGD,747-400,385,385,819915.73,31,31,21,21
300,SQ,0326,2025-04-02,1737.55,SGD,A310-300,280,280,569204.49,22,22,10,10
300,JL,0407,2025-04-02,1061.36,JPY,A310-300,280,271,337225.71,22,21,10,10
300,UA,0941,2025-04-02,879.82,USD,A319,220,213,230275.74,22,21,10,10
300,AA,0017,2025-04-02,422.94,USD,747-400,385,371,192091.11,31,30,21,20
300,AA,0026,2025-04-02,611.01,USD,A310-300,280,262,185753.40,22,20,10,9
300,AA,0064,2025-04-02,422.94,USD,A319,220,213,112307.54,22,21,10,10
300,AZ,0555,2025-04-02,185.00,EUR,DC-10-10,380,367,85377.50,41,40,18,17
300,QF,0005,2025-04-02,788.64,AUD,747-400,385,373,364627.90,31,31,21,21
300,LH,0454,2025-04-03,965.00,EUR,A310-300,280,266,298937.70,22,21,10,9
300,SQ,0114,2025-04-03,357.44,SGD,737-200,130,123,54863.55,10,9,8,8
300,LH,0455,2025-04-03,965.00,EUR,A319,220,205,243324.75,22,21,10,8
300,LH,2402,2025-04-03,242.00,EUR,A321,220,208,63188.62,22,21,11,10
300,SQ,0117,2025-04-03,357.44,SGD,A319,220,220,97137.95,22,22,10,10
300,LH,2407,2025-04-03,242.00,EUR,A321,220,214,64241.32,22,21,11,10
300,LH,2436,2025-04-03,242.00,EUR,737-200,130,121,36244.34,10,9,8,8
300,UA,3517,2025-04-03,611.01,USD,747-400,385,370,278559.83,31,30,21,21
300,JL,0408,2025-04-03,1061.36,JPY,A319,220,208,274435.68,22,21,10,10
300,LH,0400,2025-04-03,666.00,EUR,DC-10-10,380,361,304641.72,41,40,18,18
300,LH,0402,2025-04-03,666.00,EUR,747-400,385,372,309317.04,31,31,21,21
300,DL,0106,2025-04-03,611.01,USD,DC-10-10,380,360,275932.50,41,38,18,18
300,DL,1699,2025-04-03,422.94,USD,DC-10-10,380,361,192209.51,41,39,18,17
300,DL,1984,2025-04-03,422.94,USD,747-400,385,372,193905.42,31,31,21,21
300,UA,0007,2025-04-03,422.94,USD,A310-300,280,271,133200.91,22,21,10,9
300,SQ,0066,2025-04-03,329.31,SGD,DC-10-10,380,375,154975.65,41,40,18,18
300,SQ,0067,2025-04-03,329.31,SGD,747-400,385,383,154428.97,31,31,21,21
300,LH,2463,2025-04-03,242.00,EUR,A321,220,208,63624.22,22,21,11,11
300,LH,3577,2025-04-03,185.00,EUR,A321,220,214,49909.30,22,22,11,11
300,SQ,0158,2025-04-04,494.79,SGD,A321,220,216,134073.01,22,22,11,11
300,SQ,0161,2025-04-04,494.79,SGD,A321,220,220,135626.69,22,22,11,11
300,UA,3516,2025-04-04,611.01,USD,DC-10-10,380,360,279531.33,41,40,18,18
300,SQ,0863,2025-04-04,512.99,SGD,A319,220,210,134428.83,22,21,10,10
300,SQ,0866,2025-04-04,512.99,SGD,DC-10-10,380,380,245398.65,41,41,18,18
300,SQ,0988,2025-04-04,910.15,SGD,DC-10-10,380,380,433259.27,41,41,18,18
300,QF,0006,2025-04-04,788.64,AUD,A310-300,280,271,247585.81,22,21,10,9
300,SQ,0002,2025-04-04,2320.04,SGD,A319,220,211,605855.28,22,21,10,10
300,AZ,0789,2025-04-04,1030.00,EUR,747-400,385,373,469350.40,31,30,21,19
300,SQ,0015,2025-04-04,2320.04,SGD,DC-10-10,380,376,1103179.35,41,41,18,18
300,AZ,0790,2025-04-04,1014.00,EUR,A310-300,280,271,323749.92,22,22,10,10
300,AZ,0791,2025-04-04,1014.00,EUR,A319,220,205,253155.24,22,19,10,9
300,SQ,0325,2025-04-04,1737.55,SGD,747-400,385,385,819759.24,31,31,21,21
300,UA,0941,2025-04-04,879.82,USD,A319,220,213,231305.11,22,21,10,10
300,AA,0017,2025-04-04,422.94,USD,747-400,385,375,194260.62,31,31,21,19
300,AA,0026,2025-04-04,611.01,USD,A310-300,280,271,192376.76,22,20,10,10
300,AZ,0555,2025-04-04,185.00,EUR,DC-10-10,380,364,85553.25,41,41,18,18
300,AZ,0788,2025-04-04,1030.00,EUR,DC-10-10,380,369,475056.60,41,38,18,18
300,LH,0454,2025-04-05,965.00,EUR,A310-300,280,263,296814.70,22,20,10,10
300,LH,2402,2025-04-05,242.00,EUR,A321,220,210,63014.38,22,21,11,10
300,LH,2407,2025-04-05,242.00,EUR,A321,220,204,62022.18,22,21,11,10
300,UA,3504,2025-04-05,879.82,USD,DC-10-10,380,369,407023.09,41,39,18,18
300,LH,2415,2025-04-05,242.00,EUR,727-200,189,179,54198.32,18,15,11,11
300,LH,2436,2025-04-05,242.00,EUR,737-200,130,123,36738.02,10,9,8,8
300,LH,2462,2025-04-05,242.00,EUR,A319,220,212,62738.50,22,20,10,10
300,SQ,0997,2025-04-05,910.15,SGD,747-400,385,385,428972.61,31,31,21,21
300,JL,0408,2025-04-05,1061.36,JPY,A319,220,205,273130.15,22,21,10,10
300,LH,0400,2025-04-05,666.00,EUR,DC-10-10,380,369,307012.68,41,39,18,17
300,LH,0401,2025-04-05,666.00,EUR,DC-10-10,380,360,302024.34,41,39,18,18
300,SQ,0326,2025-04-05,1737.55,SGD,A310-300,280,272,557354.32,22,21,10,10
300,JL,0407,2025-04-05,1061.36,JPY,A310-300,280,271,337958.08,22,21,10,10
300,UA,0007,2025-04-05,422.94,USD,A310-300,280,272,134799.55,22,22,10,9
300,LH,2463,2025-04-05,242.00,EUR,A321,220,209,63624.22,22,21,11,11
300,LH,3577,2025-04-05,185.00,EUR,A321,220,215,48764.15,22,20,11,10
300,AA,0064,2025-04-05,422.94,USD,A319,220,209,110408.51,22,21,10,10
300,QF,0005,2025-04-05,788.64,AUD,747-400,385,374,358863.04,31,29,21,19
300,SQ,0114,2025-04-06,357.44,SGD,737-200,130,130,57097.50,10,10,8,8
300,LH,0455,2025-04-06,965.00,EUR,A319,220,215,254441.55,22,20,10,10
300,SQ,0117,2025-04-06,357.44,SGD,A319,220,217,96745.02,22,22,10,10
300,SQ,0158,2025-04-06,494.79,SGD,A321,220,220,136477.72,22,22,11,11
300,SQ,0161,2025-04-06,494.79,SGD,A321,220,212,131133.98,22,21,11,11
300,UA,3516,2025-04-06,611.01,USD,DC-10-10,380,369,280093.46,41,39,18,16
300,SQ,0863,2025-04-06,512.99,SGD,A319,220,211,134941.82,22,21,10,10
300,UA,3517,2025-04-06,611.01,USD,747-400,385,371,280570.05,31,31,21,21
300,QF,0006,2025-04-06,788.64,AUD,A310-300,280,271,249368.21,22,21,10,10
300,AZ,0789,2025-04-06,1030.00,EUR,747-400,385,364,461985.90,31,30,21,21
300,SQ,0015,2025-04-06,2320.04,SGD,DC-10-10,380,378,1110046.63,41,41,18,18
300,AZ,0790,2025-04-06,1014.00,EUR,A310-300,280,271,318294.60,22,20,10,10
300,LH,0402,2025-04-06,666.00,EUR,747-400,385,368,299853.18,31,29,21,20
300,SQ,0325,2025-04-06,1737.55,SGD,747-400,385,382,818004.48,31,31,21,21
300,DL,0106,2025-04-06,611.01,USD,DC-10-10,380,370,283955.04,41,40,18,17
300,DL,1699,2025-04-06,422.94,USD,DC-10-10,380,370,194806.39,41,40,18,16
300,DL,1984,2025-04-06,422.94,USD,747-400,385,374,192662.10,31,29,21,20
300,SQ,0066,2025-04-06,329.31,SGD,DC-10-10,380,380,157682.59,41,41,18,18
300,SQ,0067,2025-04-06,329.31,SGD,747-400,385,380,153872.37,31,31,21,21
300,AA,0017,2025-04-06,422.94,USD,747-400,385,372,191198.77,31,30,21,20
300,AA,0026,2025-04-06,611.01,USD,A310-300,280,265,190439.85,22,21,10,10
300,AZ,0555,2025-04-06,185.00,EUR,DC-10-10,380,364,83825.35,41,38,18,17
300,AZ,0788,2025-04-06,1030.00,EUR,DC-10-10,380,360,466826.90,41,39,18,17
300,LH,0454,2025-04-07,965.00,EUR,A310-300,280,271,308095.55,22,22,10,10
300,LH,2402,2025-04-07,242.00,EUR,A321,220,204,61816.48,22,20,11,11
300,LH,2407,2025-04-07,242.00,EUR,A321,220,213,64432.50,22,22,11,10
300,UA,3504,2025-04-07,879.82,USD,DC-10-10,380,366,404040.44,41,40,18,17
300,LH,2415,2025-04-07,242.00,EUR,727-200,189,179,55505.12,18,17,11,11
300,LH,2436,2025-04-07,242.00,EUR,737-200,130,116,34172.82,10,8,8,7
300,SQ,0866,2025-04-07,512.99,SGD,DC-10-10,380,380,246080.94,41,41,18,18
300,SQ,0988,2025-04-07,910.15,SGD,DC-10-10,380,373,427161.23,41,40,18,18
300,LH,2462,2025-04-07,242.00,EUR,A319,220,211,64110.64,22,22,10,10
300,SQ,0997,2025-04-07,910.15,SGD,747-400,385,385,428945.10,31,31,21,21
300,JL,0408,2025-04-07,1061.36,JPY,A319,220,213,281366.48,22,22,10,10
300,SQ,0002,2025-04-07,2320.04,SGD,A319,220,217,624485.28,22,22,10,10
300,LH,0400,2025-04-07,666.00,EUR,DC-10-10,380,360,302124.24,41,39,18,18
300,LH,0401,2025-04-07,666.00,EUR,DC-10-10,380,369,308477.88,41,39,18,18
300,AZ,0791,2025-04-07,1014.00,EUR,A319,220,213,268061.04,22,21,10,10
300,SQ,0326,2025-04-07,1737.55,SGD,A310-300,280,280,569412.95,22,22,10,10
300,JL,0407,2025-04-07,1061.36,JPY,A310-300,280,271,337225.70,22,21,10,10
300,UA,0007,2025-04-07,422.94,USD,A310-300,280,271,133095.09,22,21,10,9
300,UA,0941,2025-04-07,879.82,USD,A319,220,212,231806.58,22,21,10,10
300,LH,2463,2025-04-07,242.00,EUR,A321,220,213,64696.28,22,21,11,11
300,LH,3577,2025-04-07,185.00,EUR,A321,220,213,48590.25,22,21,11,10
300,AA,0064,2025-04-07,422.94,USD,A319,220,204,107498.81,22,21,10,9
300,QF,0005,2025-04-07,788.64,AUD,747-400,385,372,359730.38,31,31,21,20
300,SQ,0114,2025-04-08,357.44,SGD,737-200,130,126,56221.86,10,10,8,8
300,LH,0455,2025-04-08,965.00,EUR,A319,220,213,251314.95,22,21,10,9
300,SQ,0117,2025-04-08,357.44,SGD,A319,220,210,93317.04,22,21,10,10
300,SQ,0158,2025-04-08,494.79,SGD,A321,220,212,131227.99,22,21,11,11
300,SQ,0161,2025-04-08,494.79,SGD,A321,220,216,133231.89,22,22,11,11
300,UA,3516,2025-04-08,611.01,USD,DC-10-10,380,366,281639.33,41,41,18,17
300,SQ,0863,2025-04-08,512.99,SGD,A319,220,220,139189.35,22,22,10,10
300,UA,3517,2025-04-08,611.01,USD,747-400,385,367,279115.81,31,30,21,21
300,QF,0006,2025-04-08,788.64,AUD,A310-300,280,265,241379.25,22,21,10,8
300,AZ,0789,2025-04-08,1030.00,EUR,747-400,385,374,469525.50,31,29,21,20
300,SQ,0015,2025-04-08,2320.04,SGD,DC-10-10,380,380,1111322.64,41,41,18,18
300,AZ,0790,2025-04-08,1014.00,EUR,A310-300,280,271,326041.56,22,22,10,10
300,LH,0402,2025-04-08,666.00,EUR,747-400,385,369,303409.62,31,31,21,20
300,SQ,0325,2025-04-08,1737.55,SGD,747-400,385,381,810081.23,31,31,21,21
300,DL,0106,2025-04-08,611.01,USD,DC-10-10,380,365,280741.14,41,39,18,18
300,DL,1699,2025-04-08,422.94,USD,DC-10-10,380,359,190801.22,41,39,18,17
300,DL,1984,2025-04-08,422.94,USD,747-400,385,372,192374.54,31,30,21,20
300,SQ,0066,2025-04-08,329.31,SGD,DC-10-10,380,379,157402.66,41,41,18,18
300,SQ,0067,2025-04-08,329.31,SGD,747-400,385,385,156144.88,31,31,21,21
300,AA,0017,2025-04-08,422.94,USD,747-400,385,374,194582.21,31,29,21,21
300,AA,0026,2025-04-08,611.01,USD,A310-300,280,264,188075.22,22,20,10,9
300,AZ,0555,2025-04-08,185.00,EUR,DC-10-10,380,367,85669.80,41,40,18,18
300,AZ,0788,2025-04-08,1030.00,EUR,DC-10-10,380,370,473449.80,41,40,18,16
300,LH,0454,2025-04-09,965.00,EUR,A310-300,280,266,304187.30,22,22,10,10
